"TOA5","94083","CR1000","94083","CR1000.Std.32.05","CPU:CS110_1769_2024-07-30_GMX.cr1","47192","EF_60sec"
"TIMESTAMP","RECORD","E_field_Avg","status","Error_Count","E_status_Tot(1)","E_status_Tot(2)","E_status_Tot(3)","E_status_Tot(4)","E_status_Tot(5)","E_status_Tot(6)","E_status_Tot(7)","E_status_Tot(8)","E_status_Tot(9)","E_status_Tot(10)","E_status_Tot(11)","E_status_Tot(12)","E_status_Tot(13)","E_status_Tot(14)","E_status_Tot(15)","E_status_Tot(16)","leakage_cur_Avg","panel_temp_Avg","battery_volt_Avg","internal_RH_Avg"
"TS","RN","volts/m","","","","","","","","","","","","","","","","","","","nA","DegC","","%"
"","","Avg","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg"
"2024-11-04 19:01:00",99668,-315.5172,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.66,13.21,48.49
"2024-11-04 19:02:00",99669,-293.9831,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.64,13.22,48.49
"2024-11-04 19:03:00",99670,-298.545,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.63,13.22,48.5
"2024-11-04 19:04:00",99671,-312.6069,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,20.61,13.21,48.52
"2024-11-04 19:05:00",99672,-319.7078,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.59,13.22,48.52
"2024-11-04 19:06:00",99673,-328.8314,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.58,13.22,48.52
"2024-11-04 19:07:00",99674,-329.6114,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.58,13.22,48.52
"2024-11-04 19:08:00",99675,-326.0448,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.56,13.22,48.52
"2024-11-04 19:09:00",99676,-316.8459,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,20.52,13.22,48.49
"2024-11-04 19:10:00",99677,-306.9638,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.5,13.22,48.49
"2024-11-04 19:11:00",99678,-303.6985,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.49,13.22,48.49
"2024-11-04 19:12:00",99679,-305.0864,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.47,13.22,48.49
"2024-11-04 19:13:00",99680,-313.2901,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.45,13.22,48.49
"2024-11-04 19:14:00",99681,-297.7757,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.45,13.22,48.49
"2024-11-04 19:15:00",99682,-302.4505,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.43,13.22,48.52
"2024-11-04 19:16:00",99683,-301.8264,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,20.42,13.22,48.52
"2024-11-04 19:17:00",99684,-298.2437,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,20.41,13.22,48.52
"2024-11-04 19:18:00",99685,-299.7177,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.4,13.22,48.52
"2024-11-04 19:19:00",99686,-299.9328,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.4,13.22,48.52
"2024-11-04 19:20:00",99687,-308.1742,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,20.37,13.22,48.52
