"TOA5","94083","CR1000","94083","CR1000.Std.32.05","CPU:CS110_1769_2025-01-13_GMX.cr1","59979","EF_60sec"
"TIMESTAMP","RECORD","E_field_Avg","status","Error_Count","E_status_Tot(1)","E_status_Tot(2)","E_status_Tot(3)","E_status_Tot(4)","E_status_Tot(5)","E_status_Tot(6)","E_status_Tot(7)","E_status_Tot(8)","E_status_Tot(9)","E_status_Tot(10)","E_status_Tot(11)","E_status_Tot(12)","E_status_Tot(13)","E_status_Tot(14)","E_status_Tot(15)","E_status_Tot(16)","leakage_cur_Avg","panel_temp_Avg","battery_volt_Avg","internal_RH_Avg"
"TS","RN","volts/m","","","","","","","","","","","","","","","","","","","nA","DegC","","%"
"","","Avg","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg"
"2025-03-16 15:01:00",89421,-302.561,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.15,13.23,57.99
"2025-03-16 15:02:00",89422,-308.181,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.13,13.24,57.83
"2025-03-16 15:03:00",89423,-308.7724,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.14,13.25,57.72
"2025-03-16 15:04:00",89424,-302.0388,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.1,13.25,57.57
"2025-03-16 15:05:00",89425,-305.5668,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.07,13.25,57.52
"2025-03-16 15:06:00",89426,-295.9774,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.05,13.25,57.52
"2025-03-16 15:07:00",89427,-293.7184,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.04,13.25,57.52
"2025-03-16 15:08:00",89428,-278.3153,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.03,13.25,57.55
"2025-03-16 15:09:00",89429,-276.8362,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.01,13.25,57.55
"2025-03-16 15:10:00",89430,-280.1384,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.01,13.25,57.52
"2025-03-16 15:11:00",89431,-282.779,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.03,13.25,57.57
"2025-03-16 15:12:00",89432,-275.8089,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.04,13.25,57.54
"2025-03-16 15:13:00",89433,-285.4681,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.04,13.25,57.48
"2025-03-16 15:14:00",89434,-292.094,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,26.01,13.25,57.41
"2025-03-16 15:15:00",89435,-312.6009,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,25.96,13.25,57.28
"2025-03-16 15:16:00",89436,-317.2422,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,25.9,13.25,57.23
"2025-03-16 15:17:00",89437,-297.5904,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,25.86,13.25,57.27
"2025-03-16 15:18:00",89438,-292.9598,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,25.83,13.25,57.32
"2025-03-16 15:19:00",89439,-286.4845,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,25.81,13.25,57.41
"2025-03-16 15:20:00",89440,-274.6686,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,25.79,13.25,57.48
