"TOA5","94083","CR1000","94083","CR1000.Std.32.05","CPU:CS110_1769_2024-07-30_GMX.cr1","47192","EF_60sec"
"TIMESTAMP","RECORD","E_field_Avg","status","Error_Count","E_status_Tot(1)","E_status_Tot(2)","E_status_Tot(3)","E_status_Tot(4)","E_status_Tot(5)","E_status_Tot(6)","E_status_Tot(7)","E_status_Tot(8)","E_status_Tot(9)","E_status_Tot(10)","E_status_Tot(11)","E_status_Tot(12)","E_status_Tot(13)","E_status_Tot(14)","E_status_Tot(15)","E_status_Tot(16)","leakage_cur_Avg","panel_temp_Avg","battery_volt_Avg","internal_RH_Avg"
"TS","RN","volts/m","","","","","","","","","","","","","","","","","","","nA","DegC","","%"
"","","Avg","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg"
"2024-11-16 09:01:00",116348,-184.6346,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.8,13.33,47.99
"2024-11-16 09:02:00",116349,-188.7323,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.82,13.33,48.03
"2024-11-16 09:03:00",116350,-181.6587,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.85,13.33,48.07
"2024-11-16 09:04:00",116351,-178.3933,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.85,13.33,48.07
"2024-11-16 09:05:00",116352,-185.3636,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.84,13.33,48.07
"2024-11-16 09:06:00",116353,-195.3513,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.86,13.33,48.12
"2024-11-16 09:07:00",116354,-202.9779,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.88,13.33,48.16
"2024-11-16 09:08:00",116355,-203.935,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.9,13.33,48.2
"2024-11-16 09:09:00",116356,-202.972,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.93,13.33,48.23
"2024-11-16 09:10:00",116357,-197.136,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.94,13.33,48.26
"2024-11-16 09:11:00",116358,-191.3163,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.96,13.33,48.27
"2024-11-16 09:12:00",116359,-196.216,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,23.98,13.33,48.29
"2024-11-16 09:13:00",116360,-202.1592,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,24.01,13.33,48.33
"2024-11-16 09:14:00",116361,-199.7711,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,24.04,13.33,48.34
"2024-11-16 09:15:00",116362,-192.6229,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,24.04,13.33,48.34
"2024-11-16 09:16:00",116363,-195.0432,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,24.08,13.33,48.34
"2024-11-16 09:17:00",116364,-186.787,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,24.11,13.33,48.34
"2024-11-16 09:18:00",116365,-181.9355,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,24.14,13.33,48.34
"2024-11-16 09:19:00",116366,-187.7174,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,24.16,13.33,48.37
"2024-11-16 09:20:00",116367,-177.1485,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,24.16,13.33,48.4
