"TOA5","94083","CR1000","94083","CR1000.Std.32.05","CPU:CS110_1769_2024-07-30_GMX.cr1","47192","EF_60sec"
"TIMESTAMP","RECORD","E_field_Avg","status","Error_Count","E_status_Tot(1)","E_status_Tot(2)","E_status_Tot(3)","E_status_Tot(4)","E_status_Tot(5)","E_status_Tot(6)","E_status_Tot(7)","E_status_Tot(8)","E_status_Tot(9)","E_status_Tot(10)","E_status_Tot(11)","E_status_Tot(12)","E_status_Tot(13)","E_status_Tot(14)","E_status_Tot(15)","E_status_Tot(16)","leakage_cur_Avg","panel_temp_Avg","battery_volt_Avg","internal_RH_Avg"
"TS","RN","volts/m","","","","","","","","","","","","","","","","","","","nA","DegC","","%"
"","","Avg","Smp","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Avg","Avg","Avg"
"2024-11-12 02:01:00",110168,-118.7628,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.45
"2024-11-12 02:02:00",110169,-121.119,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.45
"2024-11-12 02:03:00",110170,-122.0711,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.46
"2024-11-12 02:04:00",110171,-121.1513,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,19,13.29,49.46
"2024-11-12 02:05:00",110172,-125.4279,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.46
"2024-11-12 02:06:00",110173,-127.2731,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.44
"2024-11-12 02:07:00",110174,-121.3557,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.44
"2024-11-12 02:08:00",110175,-122.8996,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.43
"2024-11-12 02:09:00",110176,-116.1322,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.43
"2024-11-12 02:10:00",110177,-119.8978,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,18.99,13.29,49.43
"2024-11-12 02:11:00",110178,-119.602,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,18.99,13.29,49.43
"2024-11-12 02:12:00",110179,-115.7772,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,18.98,13.29,49.43
"2024-11-12 02:13:00",110180,-114.7604,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,18.98,13.29,49.43
"2024-11-12 02:14:00",110181,-114.825,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.43
"2024-11-12 02:15:00",110182,-118.4346,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.43
"2024-11-12 02:16:00",110183,-124.3305,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.43
"2024-11-12 02:17:00",110184,-132.2115,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.43
"2024-11-12 02:18:00",110185,-143.3685,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.43
"2024-11-12 02:19:00",110186,-151.158,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19.01,13.29,49.43
"2024-11-12 02:20:00",110187,-145.0361,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,19,13.29,49.43
"2024-11-12 02:21:00",110188,-141.7869,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,19,13.29,49.43
